start
start loop
213000 done, 1 embeddings failed
214000 done, 1 embeddings failed
215000 done, 1 embeddings failed
216000 done, 1 embeddings failed
217000 done, 1 embeddings failed
218000 done, 1 embeddings failed
219000 done, 1 embeddings failed
220000 done, 1 embeddings failed
221000 done, 1 embeddings failed
222000 done, 1 embeddings failed
223000 done, 1 embeddings failed
224000 done, 1 embeddings failed
225000 done, 1 embeddings failed
226000 done, 2 embeddings failed
227000 done, 2 embeddings failed
228000 done, 2 embeddings failed
229000 done, 2 embeddings failed
230000 done, 2 embeddings failed
231000 done, 2 embeddings failed
232000 done, 2 embeddings failed
233000 done, 2 embeddings failed
234000 done, 2 embeddings failed
235000 done, 2 embeddings failed
236000 done, 2 embeddings failed
237000 done, 2 embeddings failed
238000 done, 2 embeddings failed
239000 done, 2 embeddings failed
240000 done, 2 embeddings failed
241000 done, 2 embeddings failed
242000 done, 2 embeddings failed
243000 done, 2 embeddings failed
244000 done, 2 embeddings failed
245000 done, 2 embeddings failed
246000 done, 2 embeddings failed
247000 done, 2 embeddings failed
248000 done, 2 embeddings failed
249000 done, 2 embeddings failed
250000 done, 2 embeddings failed
251000 done, 2 embeddings failed
252000 done, 2 embeddings failed
253000 done, 2 embeddings failed
254000 done, 2 embeddings failed
255000 done, 2 embeddings failed
256000 done, 2 embeddings failed
257000 done, 2 embeddings failed
258000 done, 2 embeddings failed
259000 done, 2 embeddings failed
260000 done, 2 embeddings failed
261000 done, 2 embeddings failed
262000 done, 2 embeddings failed
263000 done, 2 embeddings failed
264000 done, 2 embeddings failed
265000 done, 2 embeddings failed
266000 done, 2 embeddings failed
267000 done, 2 embeddings failed
268000 done, 2 embeddings failed
269000 done, 2 embeddings failed
270000 done, 2 embeddings failed
271000 done, 2 embeddings failed
272000 done, 2 embeddings failed
273000 done, 2 embeddings failed
274000 done, 2 embeddings failed
275000 done, 2 embeddings failed
276000 done, 2 embeddings failed
277000 done, 3 embeddings failed
278000 done, 3 embeddings failed
279000 done, 3 embeddings failed
280000 done, 3 embeddings failed
281000 done, 3 embeddings failed
282000 done, 3 embeddings failed
283000 done, 3 embeddings failed
284000 done, 3 embeddings failed
285000 done, 3 embeddings failed
286000 done, 3 embeddings failed
287000 done, 3 embeddings failed
288000 done, 3 embeddings failed
289000 done, 3 embeddings failed
290000 done, 3 embeddings failed
291000 done, 3 embeddings failed
292000 done, 3 embeddings failed
